Installed 1 package in 2ms
apps/backend/app/modules/gym/schemas.py:45: unused variable 'latitude' (60% confidence)
apps/backend/app/modules/gym/schemas.py:46: unused variable 'longitude' (60% confidence)
apps/backend/app/modules/gym/schemas.py:47: unused variable 'hours' (60% confidence)
apps/backend/app/modules/gym/schemas.py:48: unused variable 'amenities' (60% confidence)
apps/backend/app/modules/gym/schemas.py:49: unused variable 'rules' (60% confidence)
apps/backend/app/modules/gym/schemas.py:50: unused variable 'social' (60% confidence)
apps/backend/app/modules/gym/schemas.py:70: unused variable 'address' (60% confidence)
apps/backend/app/modules/gym/schemas.py:71: unused variable 'tagline' (60% confidence)
apps/backend/app/modules/gym/schemas.py:72: unused variable 'city' (60% confidence)
apps/backend/app/modules/gym/schemas.py:73: unused variable 'metro' (60% confidence)
apps/backend/app/modules/gym/schemas.py:77: unused variable 'latitude' (60% confidence)
apps/backend/app/modules/gym/schemas.py:78: unused variable 'longitude' (60% confidence)
apps/backend/app/modules/gym/schemas.py:79: unused variable 'hours' (60% confidence)
apps/backend/app/modules/gym/schemas.py:80: unused variable 'amenities' (60% confidence)
apps/backend/app/modules/gym/schemas.py:81: unused variable 'rules' (60% confidence)
apps/backend/app/modules/gym/schemas.py:82: unused variable 'social' (60% confidence)
apps/backend/app/modules/loyalty/models.py:74: unused variable 'entry_type' (60% confidence)
apps/backend/app/modules/loyalty/router.py:37: unused function 'client_get_loyalty_balance' (60% confidence)
apps/backend/app/modules/loyalty/router.py:57: unused function 'client_list_loyalty_history' (60% confidence)
apps/backend/app/modules/memberships/models.py:151: unused variable 'activation_policy' (60% confidence)
apps/backend/app/modules/memberships/models.py:246: unused variable 'ended_by' (60% confidence)
apps/backend/app/modules/memberships/repository.py:633: unused function 'get_freeze_period_by_id' (60% confidence)
apps/backend/app/modules/memberships/repository.py:690: unused function '_freeze_days_used_subquery' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:60: unused method '_trim' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:62: unused variable 'cls' (100% confidence)
apps/backend/app/modules/memberships/schemas.py:84: unused method '_reject_explicit_null' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:86: unused variable 'cls' (100% confidence)
apps/backend/app/modules/memberships/schemas.py:97: unused method '_trim' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:99: unused variable 'cls' (100% confidence)
apps/backend/app/modules/memberships/schemas.py:136: unused variable 'ended_by' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:162: unused variable 'EXPIRED' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:163: unused variable 'CANCELLED' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:164: unused variable 'FROZEN' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:210: unused method '_reject_explicit_null' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:212: unused variable 'cls' (100% confidence)
apps/backend/app/modules/memberships/schemas.py:279: unused variable 'freeze_days_used' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:280: unused variable 'freeze_days_remaining' (60% confidence)
apps/backend/app/modules/memberships/schemas.py:281: unused variable 'current_freeze_period' (60% confidence)
apps/backend/app/modules/memberships/service.py:239: unused function '_assert_can_expire' (60% confidence)
apps/backend/app/modules/memberships/service.py:824: unused attribute 'ended_by' (60% confidence)
apps/backend/app/modules/memberships/service.py:1137: unused attribute 'ended_by' (60% confidence)
apps/backend/app/modules/messaging/models.py:59: unused variable 'last_message_at' (60% confidence)
apps/backend/app/modules/messaging/models.py:62: unused variable 'client_unread_count' (60% confidence)
apps/backend/app/modules/messaging/models.py:70: unused variable 'staff_last_read_at' (60% confidence)
apps/backend/app/modules/messaging/models.py:79: unused class 'MessageAttachment' (60% confidence)
apps/backend/app/modules/messaging/models.py:116: unused class 'Message' (60% confidence)
apps/backend/app/modules/messaging/router.py:68: unused function 'client_list_messages' (60% confidence)
apps/backend/app/modules/messaging/router.py:105: unused function 'client_mark_messages_read' (60% confidence)
apps/backend/app/modules/messaging/router.py:130: unused function 'client_upload_attachment' (60% confidence)
apps/backend/app/modules/messaging/router.py:184: unused function 'client_serve_attachment' (60% confidence)
apps/backend/app/modules/messaging/router.py:230: unused function 'client_send_message' (60% confidence)
apps/backend/app/modules/messaging/router.py:338: unused function 'client_ws_messages' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:114: unused method 'body_or_attachment_required' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:249: unused method 'body_not_whitespace' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:274: unused variable 'client_initials' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:275: unused variable 'last_message_at' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:276: unused variable 'last_message_body' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:277: unused variable 'last_message_role' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:278: unused variable 'staff_unread_count' (60% confidence)
apps/backend/app/modules/messaging/schemas.py:335: unused variable 'preview_url' (60% confidence)
apps/backend/app/modules/messaging/service.py:113: unused function 'publish_typing' (60% confidence)
apps/backend/app/modules/messaging/service.py:398: unused variable 'claimed_content_type' (100% confidence)
apps/backend/app/modules/messaging/staff_router.py:49: unused function 'staff_list_threads' (60% confidence)
apps/backend/app/modules/messaging/staff_router.py:72: unused function 'staff_get_thread' (60% confidence)
apps/backend/app/modules/messaging/staff_router.py:96: unused function 'staff_send_reply' (60% confidence)
apps/backend/app/modules/messaging/staff_router.py:158: unused function 'staff_mark_thread_read' (60% confidence)
apps/backend/app/modules/notifications/router.py:44: unused function 'client_list_notifications' (60% confidence)
apps/backend/app/modules/notifications/router.py:73: unused function 'client_mark_all_notifications_read' (60% confidence)
apps/backend/app/modules/notifications/router.py:95: unused function 'client_mark_notification_read' (60% confidence)
apps/backend/app/modules/notifications/router.py:127: unused function 'client_register_push_token' (60% confidence)
